texts,texts_deepcut,action,object,destination
สอบถามการใช้งานคงเหลือจาก อินเตอร์เน็ต,สอบถาม การ ใช้ งาน คงเหลือ จาก อินเตอร์เน็ต,enquire,balance,billing and payment
สวัสดีคะ รบกวนสอบถามนิดนึงคะ พอดีเมือ่วานไปช้อปจะเปลี่ยนแพ็คเกจใช้ gprs edge และน้องเค้าถามว่าใช้อะไร เค้าก็แนะนำ ismart มา ทีนี้ไม่รู้ว่าเบอร์นี้ เบอร์อะไรคะ,สวัสดี คะ รบกวน สอบถาม นิดนึง คะ พอดี เมือ่วาน ไป ช้อป จะ เปลี่ยน แพ็ค เกจ ใช้ gprs edge และ น้อง เค้า ถาม ว่า ใช้ อะไร เค้า ก็ แนะนำ ismart มา ที นี้ ไม่ รู้ ว่า เบอร์ นี้ เบอร์ อะไร คะ,enquire,detail,billing and payment
ลูกค้าสอบถามการเพิ่มวงเงินการใช้งาน,ลูกค้า สอบถาม การ เพิ่ม วงเงิน การ ใช้ งาน,enquire,credit,billing and payment
สอบถามเรื่องการยกเลิก อินเตอร์เน็ต,สอบถาม เรื่อง การ ยกเลิก อินเตอร์เน็ต,cancel,service,other queries
อยากทราบว่า ค่าบริการในโทรศัพท์ ครับ,อยาก ทราบ ว่า ค่า บริการ ใน โทรศัพท์ ครับ,enquire,balance,billing and payment
พี่ไปซื้อซิมอินเตอร์เน็ตมาอ่ะครับ พอเปิดใช้งานในพื้นที่มันใช้งานไม่ดีเลยค่ะ จะขอยกเลิกต้องทำยังไงค่ะ,พี่ ไป ซื้อ ซิม อินเตอร์เน็ต มา อ่ะ ครับ พอ เปิด ใช้ งาน ใน พื้นที่ มัน ใช้ งาน ไม่ ดี เลย ค่ะ จะ ขอ ยกเลิก ต้อง ทำ ยัง ไง ค่ะ,enquire,internet,internet
ไม่ทราบซิมโทรศัพท์มีปัญหารึป่าว เวลาคนโทรเข้ามามันบอกว่าไม่มีสัญญาณ,ไม่ ทราบ ซิม โทรศัพท์ มี ปัญหา รึป่าว เวลา คน โทร เข้า มา มัน บอก ว่า ไม่ มี สัญญาณ,report,phone_issues,billing and payment
ลูกค้าใช้งาน อินเตอร์เน็ต ไม่ได้,ลูกค้า ใช้ งาน อินเตอร์เน็ต ไม่ ได้,enquire,internet,internet
ต้องการย้ายค่ายไปใช้งานอินเตอร์เน็ตค่ายอื่น ต้องใช้เอกสารอะไรบ้างคะ,ต้องการ ย้าย ค่าย ไป ใช้ งาน อินเตอร์เน็ต ค่าย อื่น   ต้อง ใช้ เอกสาร อะไร บ้าง คะ,enquire,service,other queries
จะรบกวนให้ยกเลิกเอสเอ็มเอสนะค่า,จะ รบกวน ให้ ยกเลิก เอสเอ็มเอสนะค่า,cancel,service,other queries
จะสมัครแพ็กเก็จอินเตอร์เน็ตครับ,จะ สมัคร แพ็ก เก็จ อินเตอร์เน็ต ครับ,buy,package,promotions
ต้องการสมัครบริการ internet ค่ะ,ต้องการ สมัคร บริการ internet ค่ะ,buy,package,promotions
ค่ะ สวัสดีค่ะ พอดีจะสอบถามเกี่ยวกับยอดค่าใช้จ่ายนะคะ ยอดค้างชำระค่ะ,ค่ะ สวัสดี ค่ะ พอดี จะ สอบถาม เกี่ยว กับ ยอด ค่า ใช้จ่าย นะ คะ ยอด ค้าง ชำระ ค่ะ,enquire,balance,billing and payment
จะแจ้งเปลี่ยนโปรโมชั่น พอดีตอนนี้ไม่ได้ใช้บริการในเครื่อง ไอแพด แล้วค่ะ,จะ แจ้ง เปลี่ยน โปรโมชั่น พอดี ตอน นี้ ไม่ ได้ ใช้ บริการ ใน เครื่อง ไอแพด แล้ว ค่ะ,change,package,promotions
สอบถามเกี่ยวกับ True I service ครับ,สอบถาม เกี่ยว กับ True I service ครับ,enquire,iservice,other queries
จะขอยกเลิกข้อความทั้งหมดเลยครับ,จะ ขอ ยกเลิก ข้อความ ทั้งหมด เลย ครับ,cancel,service,other queries
ผมจะยกเลิกข้อความอะพี่,ผม จะ ยกเลิก ข้อ ความ อะพี่,cancel,service,other queries
อยากทราบว่าที่ต้องบอกว่าจะตัดให้เป็นนาทีละ 99 สตางค์หน่ะค่ะ ทำไมเบอร์นี้ไม่ตัดละค่ะ,อยาก ทราบ ว่า ที่ ต้อง บอก ว่า จะ ตัด ให้ เป็น นา ที ละ   99   สตางค์ หน่ะ ค่ะ   ทำไม เบอร์ นี้ ไม่ ตัด ละ ค่ะ,enquire,bill,billing and payment
จะสอบถามว่าทำไมสัญญาณEDGEมันไม่ขึ้นอ่ะครับ,จะ สอบถาม ว่า ทำไม สัญญาณ ED GEมัน ไม่ ขึ้น อ่ะ ครับ,enquire,internet,internet
ทรูออนไลน์มีปัญหา,ทรูออนไลน์มี ปัญหา,enquire,nontruemove,other queries
ต้องการสมัครทรูมันนี่,ต้องการ สมัคร ทรูมัน นี่,enquire,truemoney,true money
จะสอบการติดตั้ง WIFI ค่ะ,จะ สอบ การ ติดตั้ง WIFI ค่ะ,enquire,internet,internet
พี่จะสมัครโทรออกต่างประเทศคิดเป็นนาที หรือ รายเดือนค่ะ,พี่ จะ สมัคร โทร ออก ต่าง ประเทศ คิด เป็น นาที หรือ รายเดือน ค่ะ,enquire,idd,international dialing
ยังไม่รู้ยอดเงิน แล้วส่ง แมสเซส มาต้องชำระเท่าไรคะ,ยัง ไม่ รู้ ยอด เงิน แล้ว ส่ง แมสเซส มา ต้อง ชำระ เท่าไรคะ,enquire,balance,billing and payment
พี่นู๋จะสอบถามเรื่องเกี่ยวกับซิมทรูมูฟ ถ้าสมมติจะเปลี่ยนจากทรูมูฟเป็นทรูมูฟเอช จะต้องทำยังไงบ้าง,พี่ นู๋ จะ สอบถาม เรื่อง เกี่ยว กับ ซิม ทรูมูฟ ถ้า สมมติ จะ เปลี่ยน จาก ทรูมูฟ เป็น ทรู มูฟเอช จะ ต้อง ทำ ยัง ไง บ้าง,enquire,service,other queries
จะเลนอินเตอร์เน็ตอะครับ ทำไงครับ,จะ เลนอินเตอร์เน็ต อะครับ ทำไง ครับ,enquire,internet,internet
ต้องการสอบถามโปรโมชั่นที่ใช้อยู่,ต้องการ สอบถาม โปรโมชั่น ที่ ใช้ อยู่,enquire,package,promotions
คือจะถามว่าไปเอาซิมใหม่แต่เป็นเบอร์เดิม แต่ใช้บริการไม่ได้,คือ จะ ถาม ว่า ไป เอา ซิม ใหม่ แต่ เป็น เบอร์ เดิม แต่ ใช้ บริการ ไม่ ได้,report,phone_issues,billing and payment
ผมจะเช็คว่าใช้เน็ตไปเท่าไหร่แล้วครับ,ผม จะ เช็ค ว่า ใช้ เน็ต ไป เท่า ไหร่ แล้ว ครับ,enquire,balance,billing and payment
"คะ พอดีว่าใช้ซิมทรูมูฟ และไม่ได้ใช้มานานแล้ว พอมาใส่โทรศัพท์มันขึ้นว่า ไม่ได้ลงทะเบียนในเครือข่าย
อยากถามว่าจะใช้ซิมนี้ได้ไหมคะ จะได้ไม่ต้องซื้อซิมใหม่คะ"," คะ พอดี ว่า ใช้ ซิม ทรูมูฟ และ ไม่ ได้ ใช้ มา นาน แล้ว พอ มา ใส่ โทรศัพท์ มัน ขึ้น ว่า ไม่ ได้ ลง ทะเบียน ใน เครือข่าย
อยาก ถาม ว่า จะ ใช้ ซิม นี้ ได้ ไหม คะ จะ ได้ ไม่ ต้อง ซื้อ ซิม ใหม่คะ ",report,phone_issues,billing and payment
ขอสอบถามหน่อยคะ ถ้าจะสมัครทรูมูฟเอช ต้องทำอย่างไรคะ,ขอ สอบถาม หน่อย คะ ถ้า จะ สมัคร ทรูมูฟเอช ต้อง ทำ อย่าง ไร คะ,buy,package,promotions
ผมราเยศนะครับ ผมมาจ่ายค่าโทรศัพท์ แต่ว่าผมถามเค้าผมไม่มียอดค้างชำระครับผม,ผม ราเยศ นะ ครับ ผม มา จ่าย ค่า โทรศัพท์ แต่ ว่า ผม ถาม เค้า ผม ไม่ มี ยอด ค้าง ชำระ ครับผม,enquire,balance,billing and payment
ครับผม สวัสดีครับ อยากทราบว่าตอนนี้โปรโมชั่น บ.มันมีอัพขึ้นมาอะไรบ้างครับ,ครับ ผม สวัสดี ครับ อยาก ทราบ ว่า ตอน นี้ โปรโม ชั่น บ. มัน มี อัพ ขึ้น มา อะไร บ้าง ครับ,enquire,promotion,promotions
ลูกค้า สอบถามโปรโมชั่นที่จะใช้ร่วมกับ แอร์การ์ด,ลูกค้า สอบถาม โปรโมชั่น ที่ จะ ใช้ ร่วม กับ แอร์การ์ด,enquire,promotion,promotions
เบอร์ทรู มันเล่นเน็ตไม่ได้ครับ,เบอร์ทรู มัน เล่น เน็ต ไม่ ได้ ครับ,enquire,internet,internet
สอบถามการเปลี่ยนโปรโมชั่น,สอบถาม การ เปลี่ยน โปรโมชั่น,change,package,promotions
สวัสดีครับ พอดีว่าโทรศัพท์ผมใช้งานไม่ได้ครับ,สวัสดี ครับ พอดี ว่า โทรศัพท์ ผม ใช้ งาน ไม่ ได้ ครับ,report,phone_issues,billing and payment
จะสมัครโปรบีบีสามวันค่ะพี่,จะ สมัคร โปรบีบีสาม วัน ค่ะ พี่,enquire,package,promotions
ชำระยอดมาแล้ว บาท ตอนนี้มียอดค้างอยู่ไหม,ชำระ ยอด มา แล้ว บาท ตอน นี้ มี ยอดค้าง อยู่ไหม,enquire,balance,billing and payment
สอบถามรายละเอียด Package เติมเงิน และการใช้งาน True Hi Speed ( Trueonline ),สอบถาม รายละเอียด Package เติม เงิน และ การ ใช้ งาน True Hi Speed ( Trueonline ),enquire,promotion,promotions
จะรบกวนสอบถามหน่อยคะ ไม่ทราบว่าเบอร์นี้คะ โปรโมชั่น ismart คะ ทำไมสัญญาณมันเป็น g หรือ edge คะ,จะ รบกวน สอบถาม หน่อย คะ ไม่ ทราบ ว่า เบอร์ นี้ คะ โปรโมชั่น ismart คะ ทำไม สัญญาณ มัน เป็น g หรือ edge คะ,enquire,internet,internet
ติดต่อสอบถามเรื่องเครือข่ายหน่อยค่ะ,ติดต่อ สอบถาม เรื่อง เครือข่ายหน่อย ค่ะ,enquire,service,other queries
สอบถามโปรโมชั่นไอแพด หรืออินเตอร์เน็ตครับ,สอบถาม โปรโมชั่นไอแพด   หรือ อินเตอร์เน็ต ครับ,enquire,promotion,promotions
ทำไมโทรศัพท์ถูกตัดสัญญาณ ชำระค่าบริการไปแล้ว,ทำไม โทรศัพท์ ถูก ตัด สัญญาณ ชำระ ค่า บริการ ไป แล้ว,enquire,suspend,billing and payment
มี โปรโมชั่น อื่นที่คุ้มกว่านี้มั้ย,มี โปรโมชั่น อื่น ที่ คุ้ม กว่า นี้ มั้ย,enquire,promotion,promotions
ผมจะเปิดใช้ net ต้องทำอย่างไร,ผม จะ เปิด ใช้ net ต้อง ทำ อย่าง ไร,activate,service,billing and payment
พอดีจะใช้อินเตอร์เน็ต จะขอดูแพคเกจอินเตอร์เน็ตหน่อย,พอดี จะ ใช้ อินเตอร์เน็ต   จะ ขอ ดูแพค เกจอินเตอร์เน็ต หน่อย,enquire,internet,internet
พี่จะรบกวนนิดนึง พอดีไปต่างประเทศเพิ่งกลับมา แจ้งปิดเอสเอ็มเอส จีพีอาเอส แต่ตอนนี้แจ้งเปิดแล้ว ยังใช้ไม่ได้เลยนะครับ,พี่ จะ รบกวน นิดนึง พอดี ไป ต่าง ประเทศ เพิ่ง กลับ มา แจ้ง ปิด เอสเอ็มเอส จีพีอาเอส แต่ ตอน นี้ แจ้ง เปิด แล้ว ยัง ใช้ ไม่ ได้ เลย นะ ครับ,enquire,suspend,billing and payment
คือมันถูกระงับการใช้งาน อยากทราบว่าจะต้องจ่ายล่วงหน้าเท่าไหร่คะ,คือ มัน ถูก ระงับ การ ใช้ งาน อยาก ทราบ ว่า จะ ต้อง จ่าย ล่วงหน้า เท่า ไหร่ คะ,report,suspend,billing and payment
คือ สอบถามโปรโมชันนะครับ คือ ซื้อจาก True เป็น True Move H ครับ,คือ สอบถาม โปรโมชัน นะ ครับ คือ ซื้อ จาก True เป็น True Move H ครับ,enquire,promotion,promotions
"ถ้าพี่จะซื้อ แพ็กเกจ บาท จะกดอะไรนะ,ถ้าจะยกเลิกล่ะ","ถ้า พี่ จะ ซื้อ แพ็กเกจ บาท จะ กด อะไร นะ , ถ้า จะ ยกเลิก ล่ะ",buy,package,promotions
พี่ใช้แอร์การ์ดของทรูมูฟอยู่นะค่ะ แต่พี่จำเบอร์ไม่ได้ ไม่รู้ว่าสัญญาณมันโดนระงับ ช่วยเช็คให้หน่อยได้ไหมคะ,พี่ใช้ แอร์การ์ด ของ ทรูมูฟ อยู่ นะ ค่ะ แต่ พี่จำเบอร์ ไม่ ได้ ไม่ รู้ ว่า สัญญาณ มัน โดน ระงับ ช่วย เช็ค ให้ หน่อย ได้ ไหมคะ,report,suspend,billing and payment
พอดีซิมมันล๊อคจะขอรหัสหน่อยค่ะ,พอดีซิม มัน ล๊อค จะ ขอรหัส หน่อยค่ะ,enquire,mobile_setting,internet
สอบถามเรื่องรายเดือนของเบอร์ มียอดค้างเท่าไร,สอบถาม เรื่อง ราย เดือน ของ เบอร์ มี ยอด ค้างเท่าไร,enquire,balance,billing and payment
อยากถามว่าตอนนี้ที่นครปฐมมันขึ้นเป็น EDGE เล็ก หรือว่มันมีปัญหาที่เครื่องก็ไม่รู้อะ,อยาก ถาม ว่า ตอน นี้ ที่ นครปฐม มัน ขึ้น เป็น EDGE เล็ก หรือ ว่มัน มี ปัญหา ที่ เครื่อง ก็ ไม่ รู้อะ,enquire,internet,internet
สอบถามโปรโมชั่นบีบี,สอบถาม โปรโมชั่นบีบี,enquire,promotion,promotions
ต้องการทราบวิธีการเติมเงินของโทรศัพท์ระบบทรูมูฟ,ต้องการ ทราบ วิธี การ เติม เงิน ของ โทรศัพท์ ระบบ ทรูมูฟ,enquire,payment,billing and payment
พี่ครับ อยากจะสอบถามยอดที่ใช้งานเกินครับ,พี่ ครับ อยาก จะ สอบถาม ยอด ที่ ใช้ งาน เกิน ครับ,enquire,balance,billing and payment
สอบถามข้อมูลเกี่ยวกับย้ายค่ายอะครับ,สอบถาม ข้อมูล เกี่ยว กับ ย้าย ค่าย อะครับ,enquire,detail,billing and payment
ตอนนี้เบอร์นี้มีแพ็กเกจอะไร,ตอน นี้ เบอร์ นี้ มี แพ็กเกจอะไร,enquire,package,promotions
ครับ สวัสดีครับ รบกวนเปิดแพคเกจ EDGE /GPRS ONE DAY ให้ผมด้วยครับ,ครับ สวัสดี ครับ รบกวน เปิด แพคเกจ EDGE / GPRS ONE DAY ให้ ผม ด้วย ครับ,enquire,internet,internet
ต้องการต่อสัญญาณก่อน แล้วจะไปชำระเงินที่ไหนได้บ้างครับ,ต้องการ ต่อ สัญญาณ ก่อน แล้ว จะ ไป ชำระ เงิน ที่ ไหน ได้ บ้าง ครับ,enquire,payment,billing and payment
เติมเงินผิดเข้าทรูมันนี่ค่ะ,เติม เงิน ผิด เข้า ทรู มัน นี่ ค่ะ,enquire,truemoney,true money
พอดีว่าอันนี้ มีชำระขั้นต่ำหรือชำระอะไรบ้างคะ,พอดี ว่า อัน นี้ มี ชำระ ขั้น ต่ำ หรือ ชำระ อะไร บ้าง คะ,enquire,payment,billing and payment
พอดีไปจ่ายค่าโทรศัพท์มาแล้ว แต่ตัดสัณญาณอีกค่ะ,พอดี ไป จ่าย ค่า โทรศัพท์ มา แล้ว แต่ ตัด สัณญาณ อีก ค่ะ,report,suspend,billing and payment
ครับ สมัคร internet ครับ,ครับ สมัคร internet ครับ,enquire,internet,internet
ลูกค้าสอบถามการรองรับ สามจี ของตัวเครื่อง,ลูกค้า สอบถาม การ รองรับ สามจี ของ ตัว เครื่อง,enquire,internet,internet
พอดีผมมีซิมของทรูที่ใช้โทรไปต่างประเทศ คราวนี้ ถ้าผมจะเอาไปใช้ต่างประเทศได้ไหม,พอดี ผม มี ซิม ของ ทรู ที่ ใช้ โทร ไป ต่าง ประเทศ คราว นี้ ถ้า ผม จะ เอา ไป ใช้ ต่าง ประเทศ ได้ ไหม,enquire,roaming,international dialing
พอดีจะสอบเกี่ยวกับการใช้งานโปรโมชั่น,พอดี จะ สอบ เกี่ยว กับ การ ใช้ งาน โปรโมชั่น,enquire,promotion,promotions
สวัสดีครับ จะสอบถามเกี่ยวกับโรมมิ่งต่างประเทศนิดนึงครับ ที่มาเก๊า ผมต่อเครือข่ายถูกใช่มั้ย,สวัสดี ครับ จะ สอบถาม เกี่ยว กับ โรม มิ่ง ต่าง ประเทศ นิด นึง ครับ ที่ มา เก๊า ผม ต่อ เครือข่าย ถูก ใช่ มั้ย,enquire,roaming,international dialing
จ่ายค่าโทรศัพท์ไปที่เซเว่นค่ะ อยากให้เปิดสัญญาณค่ะ,จ่าย ค่า โทรศัพท์ ไป ที่ เซเว่น ค่ะ อยาก ให้ เปิด สัญญาณ ค่ะ,activate,service,billing and payment
จะยกเลิก ข้อความประชาสัมพันธ์ค่ะ,จะ ยกเลิก ข้อความ ประชาสัมพันธ์ค่ะ,cancel,service,other queries
แจ้งเรื่องเครื่องถูกขโมย,แจ้ง เรื่อง เครื่อง ถูก ขโมย,report,lost_stolen,lost and stolen
จะโทรมาถามว่าทำไมถึงถูกระงับ,จะ โทร มา ถาม ว่า ทำไม ถึง ถูก ระงับ,report,suspend,billing and payment
สวัสดีครับ ถ้าจะโทรทางไกลระหว่างประเทศเสียค่าใช้จ่ายเพิ่มเติมไหมครับ,สวัสดี ครับ ถ้า จะ โทร ทาง ไกล ระหว่าง ประเทศ เสีย ค่า ใช้จ่าย เพิ่มเติม ไหม ครับ,enquire,idd,international dialing
คะ จะสอบถามโปรโมชั่นคะ จะย้ายเครือข่ายจากเครือข่ายอื่นมาใช้ทรูมูฟคะ,คะ จะ สอบถาม โปรโมชั่น คะ จะ ย้าย เครือข่าย จาก เครือข่าย อื่น มา ใช้ ทรูมูฟคะ,enquire,promotion,promotions
จะโทรออก ประเทศปากีสถาน นาทีเท่าไหร่,จะ โทร ออก ประเทศปากีสถาน นาที เท่าไหร่,enquire,idd,international dialing
ต้องการยกเลิกข้อความที่เป็นเสียงเพลงรอสายทั้งหมดเลย,ต้องการ ยกเลิก ข้อความ ที่ เป็น เสียง เพลง รอ สาย ทั้งหมด เลย,cancel,service,other queries
เล่นเน็ตไม่ได้ค่ะ รีเซ็ตสัญญาณแล้ว น่าจะเป็นวงเงินเต็มหรือเปล่าคะ,เล่น เน็ต ไม่ ได้ ค่ะ รีเซ็ต สัญญาณ แล้ว น่า จะ เป็น วงเงิน เต็ม หรือ เปล่า คะ,enquire,internet,internet
คือว่า บัญชีทรูมันนี่มันล็อคอ่ะครับ จำรหัสผ่านไม่ได้,คือ ว่า บัญชี ทรู มัน นี่ มัน ล็อค อ่ะ ครับ จำรหัส ผ่าน ไม่ ได้,enquire,truemoney,true money
เปิดบริการไอดีดี,เปิด บริการไอดีดี,enquire,idd,international dialing
ฮัลโหลสวัสดีค่ะ ขอสอบถามเรื่อง Sim True Move หน่อยค่ะ,ฮัลโหล สวัสดี ค่ะ   ขอ สอบถาม เรื่อง   Sim   True   Move   หน่อย ค่ะ,enquire,service,other queries
ผมจะสอบถามระบบทรูมันนี่ครับ วันนี้มีปัญหาอะไรมั้ยครับ,ผม จะ สอบถาม ระบบ ทรู มัน นี่ ครับ วัน นี้ มี ปัญหา อะไร มั้ย ครับ,enquire,truemoney,true money
เติมเงินออนไลน์ แล้วใส่เบอร์ผิดค่ะ,เติม เงิน ออนไลน์ แล้ว ใส่ เบอร์ผิดค่ะ,enquire,payment,billing and payment
 เป็นเติมเงินนะคะ เดี๋ยวนี้วันหมดอายุ ต้องขอต่ออีกหรือไม่คะ, เป็น เติม เงิน นะ คะ เดี๋ยวนี้ วัน หมด อายุ ต้อง ขอ ต่อ อีก หรือ ไม่คะ,buy,package,promotions
สอบถามยอค้างชำระค่ะ,สอบถาม ยอค้าง ชำระ ค่ะ,enquire,balance,billing and payment
รับเอสเอ็มเอสไม่ได้,รับ เอสเอ็มเอส ไม่ ได้,report,phone_issues,billing and payment
จะเปลี่ยนโปรโมชั่นที่ใช้อยู่คะ,จะ เปลี่ยน โปรโมชั่น ที่ ใช้ อยู่ คะ,change,package,promotions
ไปจ่ายค่าเน็ตรายเดือนครับ แจ้งว่ามียอดค้าง เดือน ผมไปจ่ายมาครบหมดแล้วครับ,ไป จ่าย ค่า เน็ต ราย เดือน ครับ แจ้ง ว่า มี ยอด ค้าง เดือน ผม ไป จ่าย มา ครบ หมด แล้ว ครับ,enquire,balance,billing and payment
คือผมเปิดเบอร์ใหม่ แล้วจะเติมเงินเข้าทรูมันนี่แล้วมันเติมไม่ได้,คือ ผม เปิด เบอร์ ใหม่ แล้ว จะ เติม เงิน เข้า ทรู มัน นี่ แล้ว มัน เติม ไม่ ได้,enquire,truemoney,true money
พี่ค้ารบกวนเปิดสัญญาณให้หน่อยค่า,พี่ค้า รบกวน เปิด สัญญาณ ให้ หน่อย ค่า,activate,service,billing and payment
พี่ ขอแจ้งเปิดสัญญาณค่ะ,พี่ ขอ แจ้ง เปิด สัญญาณ ค่ะ,activate,service,billing and payment
พี่ค่ะจะเปิด E ให้เบอร์นี้ คือใช้ บีบี แล้วมันเป็น e มันเล่นไม่ได้ค่ะ,พี่ ค่ะ จะ เปิด E ให้ เบอร์ นี้ คือ ใช้ บีบี แล้ว มัน เป็น e มัน เล่น ไม่ ได้ ค่ะ,enquire,internet,internet
ค่ะ อยากจะยกเลิกการโอนสายนะคะ ไม่แน่ใจว่าต้องกดอะไรคะ,ค่ะ อยาก จะ ยกเลิก การ โอน สาย นะ คะ ไม่ แน่ใจ ว่า ต้อง กด อะไร คะ,cancel,service,other queries
จะยกเลิกโปรโมชั่นทุกรายการไปแล้วครับ แต่ทำไมใบแจ้งหนี้ยังมาที่บ้านอีกละครับ,จะ ยกเลิก โปรโมชั่น ทุก รายการ ไป แล้ว ครับ แต่ ทำไม ใบ แจ้ง หนี้ ยัง มา ที่ บ้านอีก ละครับ,enquire,bill,billing and payment
พอดซิมการ์ดหาย ต้องการทำซิมการ์ดใหม่,พอดซิมการ์ด หาย ต้องการ ทำ ซิมการ์ดใหม่,report,lost_stolen,lost and stolen
การใช้งานอินเตอร์เน็ตในต่างประเทศ,การ ใช้ งาน อินเตอร์เน็ต ใน ต่าง ประเทศ,enquire,roaming,international dialing
ช่วยเช็คยอดเงินของเบอร์นี้ให้หน่อยได้ไหมค่ะว่าค้างชำระเท่าไหร่,ช่วย เช็ค ยอด เงิน ของ เบอร์ นี้ ให้ หน่อย ได้ ไหม ค่ะ ว่า ค้าง ชำระ เท่าไหร่,enquire,balance,billing and payment
พี่เพิ่งติดกล่องใหม่หน่ะค่ะ แล้วเค้าบอกว่าไง ให้โทรมาลงทะเบียนเหรอ,พี่ เพิ่ง ติด กล่อง ใหม่ หน่ะ ค่ะ แล้ว เค้า บอก ว่า ไง ให้ โทร มา ลง ทะเบียน เหรอ,enquire,nontruemove,other queries
ต้องการโอนเงินค่าโทรให้กับอีกเบอร์นึง ค่ะ,ต้องการ โอน เงิน ค่า โทร ให้ กับ อีก เบอร์นึง ค่ะ,enquire,payment,billing and payment
ช่วยดูข้อมูลเพื่อนผมให้หน่อยสิครับ,ช่วย ดู ข้อมูล เพื่อน ผม ให้ หน่อย สิครับ,garbage,garbage,other queries
ตอนนี้มีซิมอินเตอร์อยู่เปล่าครับ,ตอน นี้ มี ซิม อินเตอร์ อยู่ เปล่า ครับ,enquire,promotion,promotions
สวัสดีค่ะ คือ เพิ่งย้ายค่ายมาใหม่จะตั้งค่าเล่นอินเตอร์เน็ตค่ะ,สวัสดี ค่ะ คือ เพิ่ง ย้าย ค่าย มา ใหม่ จะ ตั้ง ค่า เล่น อินเตอร์เน็ต ค่ะ,enquire,mobile_setting,internet
ค่ะ สอบถามค่ะ เมื่อก่อนใช้เป็นฮัท แล้วไปเปลี่ยนเป็นทรูมูฟ เอช ยังใช้งานไม่ได้เลยค่ะ,ค่ะ สอบถาม ค่ะ เมื่อ ก่อน ใช้ เป็น ฮัท แล้ว ไป เปลี่ยน เป็น ทรูมูฟ เอช ยัง ใช้ งาน ไม่ ได้ เลย ค่ะ,report,phone_issues,billing and payment
พอดีพี่จะสอบถาม พี่เห็นคัสโตเมอร์แคร์โทรหาพี่หลายครั้งแล้ว มีอะไรหรือเปล่าค่า,พอดี พี่ จะ สอบถาม พี่ เห็น คัสโตเมอร์แคร์ โทร หา พี่ หลาย ครั้ง แล้ว มี อะไร หรือ เปล่า ค่า,report,contact,other queries
ผมจ่ายค่าบริการเข้าแล้วนะครับ บาท,ผม จ่าย ค่า บริการ เข้า แล้ว นะ ครับ บาท,enquire,payment,billing and payment
สอบถามแพคเกจไวไฟอะค่ะ,สอบถาม แพคเกจไวไฟอะค่ะ,enquire,promotion,promotions
ถามยอดค่าใช้บริการหน่อยสิคะ,ถาม ยอด ค่า ใช้ บริการ หน่อย สิคะ,enquire,balance,billing and payment
พอดีว่าเบอร์นี้ตัดไป ไปเติมเงินแล้วช่วยเปิดให้หน่อยค่ะ,พอดีว่า เบอร์ นี้ ตัด ไป ไป เติม เงิน แล้ว ช่วย เปิด ให้ หน่อย ค่ะ,activate,service,billing and payment
ขอเช็คค่าโทรศัพท์,ขอเช็ค ค่า โทรศัพท์,enquire,balance,billing and payment
จะสอบถามว่าโทรศัพท์ได้สมัคร wifi รายเดือน เติมเงินเข้ามาแล้วเงินหายไป,จะ สอบถาม ว่า โทรศัพท์ ได้ สมัคร wifi ราย เดือน เติม เงิน เข้า มา แล้ว เงินหาย ไป,enquire,payment,billing and payment
ใช้มือถือเป็นโมเด็มไม่ได้,ใช้ มือถือ เป็น โมเด็ม ไม่ ได้,enquire,mobile_setting,internet
พอดีจ่ายค่าบริการไป จะรบกวนเปิดสัญญาณให้หน่อยครับ,พอดี จ่าย ค่า บริการ ไป จะ รบกวน เปิด สัญญาณ ให้ หน่อย ครับ,activate,service,billing and payment
สวัสดีครับ ผมอยากรู้เกี่ยวกับโปรโมชั่นอินเตอร์เน็ตครับ,สวัสดี ครับ ผม อยาก รู้ เกี่ยว กับ โปรโมชั่นอินเตอร์เน็ต ครับ,enquire,promotion,promotions
สอบถามโปรโมชั่นของเบอร์ที่ใช้งานครับ,สอบถาม โปรโมชั่น ของ เบอร์ ที่ ใช้ งาน ครับ,enquire,package,promotions
ครับ สวัสดีครับ เออ..ผมเพิ่งจะซื้อซิมแอร์การ์ดจาก - แล้วเพิ่งจะเติมเงิน เพื่อจะใช้อินเตอร์เน็ต ต้องทำยังงัยบ้างครับ,ครับ สวัสดี ครับ เออ .. ผม เพิ่ง จะ ซื้อ ซิมแอร์การ์ด จาก - แล้ว เพิ่ง จะ เติม เงิน เพื่อ จะ ใช้ อินเตอร์เน็ต ต้อง ทำ ยัง งัย บ้าง ครับ,enquire,internet,internet
เบอร์เก่าถูกตัดสัญญาณไปแล้วอ่ะค่ะ ถ้าอยากได้เบอร์เดิมมาใช้ใหม่จะได้ไหมครับ,เบอร์ เก่า ถูก ตัด สัญญาณ ไป แล้ว อ่ะ ค่ะ ถ้า อยาก ได้ เบอร์ เดิม มา ใช้ ใหม่ จะ ได้ ไหม ครับ,report,suspend,billing and payment
จะถามยอดค่าใช้จ่ายว่าตอนนี้มีอยู่เท่าไหร่ครับ,จะ ถาม ยอด ค่า ใช้จ่าย ว่า ตอน นี้ มี อยู่ เท่า ไหร่ ครับ,enquire,balance,billing and payment
ค่ะ พี่จะสอบถาม พี่จะ Divert นะคะ จะโอนสายอัตโนมัติต้องทำยังไงบ้างค่ะ,ค่ะ พี่ จะ สอบถาม พี่ จะ Divert นะ คะ จะ โอน สาย อัตโนมัติ ต้อง ทำ ยัง ไง บ้าง ค่ะ,enquire,service,other queries
