0,labels,len,texts
,neutral,,เข้ามาในประเทศไทยโดยเฉพาะตัวของคุณเคนครับ
,positive,26.0,เข้าใจครับ กระจ่างแจ้งแล้ว
,neutral,,SF
,neutral,,ถ้าแบบดีๆของรุ่นขายวันสุดท้ายก็เป็นขยะอีกประเทศหนึ่งต่อสิ่งแวดล้อมไม่ดีถ้างั้นต้องถามเลยค่ะ
,neutral,,และยิ่งได้ได้ได้เร็วแค่ไหนแต่ส่วนใหญ่ก็มองตรงกันว่าใช้เวลา
,neutral,,ใช้เวลาปีหน้าครับค่อยว่ากันค่อยว่ากันแต่จะค่อยๆกลับมาจะเป็นวีดีโออยู่เนี่ยผมว่าอยู่ที่พักละ
,neutral,12.0,คุณอ่านให้ดี
,neutral,,ทำท่องเที่ยว
,positive,17.0,บริการดีมากเลยค่ะ
,positive,11.0,บริการดีมาก
,neutral,52.0,เมื่อก่อนโทรมาบ่อยมาก ปี-สองปีมานี้ไม่มีเลยซักสายเลย
,neutral,,คือตอนแรกที่อ่านมีความงงเหมือนกันว่า
,positive,35.0,พอใจมากกับกับการโทรเข้ามาในครั้งนี้
,neutral,,ลดเหลือ 3 แต่เขาจะดันให้เป็นให้ได้
,negative,10.0,ไม่เอาแล้ว
,neutral,,อะไรของคาดว่าจะโตวัน
,positive,16.0,อันนี้ถือว่าง่าย
,neutral,20.0,ไม่ทราบเหมือนกันครับ
,negative,121.0,สงสัยไปหมดแล้วตอนนี้ผลิตภัณฑ์ของคุณ จริงๆมีอะไรดีกว่านั้นรึป่าว การที่ call center พนงไม่รู้เรื่องทำให้เราพลาดโอกาสรึป่าว
,neutral,,นอกจากนั้นนะครับก็ยังรับงานพิเศษด้วยนะครับเพราะว่าน้องบอกว่าก็ยัง
,neutral,,ยังไงว่าใครมีกระสุนดีกว่า
,neutral,123.0,ขึ้นอยู่กับตำแหน่งหน้าที่การงาน และบริษัทที่ทำอยู่ด้วยครับ  แค่ตำแหน่งธรรมดาแต่ถ้าได้อยู่บริษัทดี ๆ  สมัครไปยังไงก็ผ่านครับ
,neutral,,รอแป๊บนึงนะพี่ผมผมขอสมุดกับปากกา
,neutral,,ไปได้ไปได้ของมันอยู่แล้วเพราะยังไงก็ต้องซื้อแล้วเขาก็
,neutral,,nan
,neutral,,ขอบคุณครับการติดตามครับลาไปก่อนแล้วพบกันในวันนี้
,positive,42.0,หนูพูดโอเค รู้เรื่อง เพราะ น่าฟังน่าปรึกษา
,neutral,,น่ารักอ่ะน่ารักอ่ะที่มันเลวเลยนะครับหรือแม้กระทั่งคุณกำลังมี
,neutral,,รักร้ายเหลือเกินนะเรา
,neutral,,คิดนี้มาตลอดแล้วก็มันก็ไม่เคยทำร้ายผม
,positive,25.0,ขอบคุณค่ะชี้แจงละเอียดมาก
,positive,58.0,ขอบคุณนะคะที่สละเวลาแนะนำให้ความรู้ แก้ไขปัญหาให้ ขอชมนะคะ
,neutral,,อันนี้จะเป็นภาพรวมที่เห็นในตลาดทั้งหมด
,neutral,,ถูกหรือเปล่าอันนี้ผมว่าก็เป็นอีกเรื่องหนึ่ง
,neutral,,เรียกว่ามิวในค่ายหรือสังกัด
,positive,56.0,ขอให้คุณเจริญก้าวหน้าในหน้าที่การงาน ขอให้เจริญรุ่งเรือง
,neutral,29.0,พิมพ์คำถามนี้ลงในกูเกิลได้เลย
,neutral,,แอบซ่อนอย่างเดียวแต่ก็ต้องแอบที่จะสะกิดบอก
,neutral,,มันก็จะเกิดเอฟเฟคอื่นๆเกิดขึ้น
,neutral,,เรียบร้อยเลยล่ะ
,neutral,,ไอ้เพื่อนมันก็ฟังเพื่อนมาอีกทีเพื่อนอีกคนก็ฟัง
,positive,24.0,ให้ข้อมูลรายละเอียดดีมาก
,neutral,61.0,บัตรเครดิตกรุงศรี บริหารงานโดย บริษัท บัตรกรุงศรีอยุธยา จำกัด
,positive,39.0,ขอบคุณมากที่ให้ความกระจ่าง ชัดเจน ดีมาก
,negative,14.0,คำถามยากมากหรอ
,neutral,,ทุกที่ที่คุณสั่งถอดการ์ดได้แล้ววันนี้
,positive,15.0,ดีเยี่ยมเลยครับ
,neutral,,อันนี้มันจะมีเรื่องของอายุสัญญามีค่าธรรมเนียมนะ
,neutral,35.0,เช็ควงเงินที่ห้างได้5000  ซึ่งไม่พอ
,neutral,,พื้นฐาน
,neutral,,สินเชื่อส่วนบุคคลอะไรพวกนี้บัตรเครดิตอันนี้ก็เป็นดอกให้เหมือนกันนะ
,neutral,,เวลาถามก็มาพี่ก็จะกวนตีนกวนใจตัวเองมากนะทำไมถามอย่างนี้
,neutral,,ต้องบอกว่า
,neutral,,มัน
,neutral,,บวชด้วยคือผมก็อยู่อีกกระบวนหนึ่งจะเป็นสไตล์หวานเย็น
,neutral,,อุตสาหกรรมต้องใช้เทคโนโลยี
,negative,46.0, ใช้แค่ 499 point เรามีตั้งเป็น 10000 ทำไม่ได้
,neutral,,ทั้งปี 12 เปอร์เซ็นต์ครับ
,positive,28.0,มีคุณนี่แหละให้ความกระจ่างผม
,neutral,,อยากรู้ว่าตัวเขานักศึกษาเข้าศึกษาปุ๊บเขาก็มั่นใจในที่สุดก็พอสมควรครับแต่คุณพ่อเนี่ยคุณพ่อเนี่ยไม่ใช่มีปัญหาเรื่องความรู้หรือความรู้เรื่องเงินแหละแต่เป็นทัศนคติ
,neutral,36.0,พอโดนยกเลิกเลยโทรไปถามว่าเป็นอย่างไง
,neutral,26.0,ส่วนใหญ่ประมาณอาทิตย์นึงนะ
,neutral,,ในขณะเดียวกันก็อัดฉีดเงินเข้ามาในระบบ
,neutral,,เครื่องมือที่เราต้องใช้ในการทำมาหากินยุคใหม่
,neutral,,พรุ่งนี้ผมไม่มีปัญหานี้เด้อ
,neutral,65.0,เพราะคนที่อนุมัติ คือ ฝ่ายบัตรเครดิต ที่เขาจะไม่บอกเหตุผลมาที่ cc
,neutral,,หี
,neutral,,ก็ไปด่าเพื่อน
,neutral,,อาจจะเป็นเพราะด้วยส่งต่อเดือน
,negative,11.0,ผมไม่เข้าใจ
,neutral,19.0,บริการพัสดุไปรษณีย์
,neutral,,คันแรกจริงๆ
,neutral,,เคยฟังเปล่าวะเนี่ยลืมมันไปซะ
,neutral,,มีความสุขไม่ได้
,neutral,,คนที่รักอะไรนะลงเฟซรักต้องเสี่ยงอยู่แล้วรับความเสี่ยงได้
,neutral,53.0,เงินเดือน 12000  ทำktc pound ได้ครับ เป็นบัตรกดเงินสด
,negative,22.0,ลูกค้าไม่ใช่เพื่อนเล่น
,neutral,,โอ๊ยคันมาก
,neutral,,มีเอฟเฟคการใช้เงินที่ไหนส่งต่อเป็นทอดๆ
,neutral,,เวลาพี่สอนเรื่องการเงินส่วนบุคคลให้พี่จะให้ชวนนะ
,neutral,,doris มันมีทั้งวิกฤตและโอกาสบ้าง Sector ได้ผลกระทบเชิงบวก
,neutral,,ไปต่างประเทศเนี่ยโดยเฉพาะประเทศที่โดนหนักๆอย่างยุโรปเอง
,neutral,,มีกันแค่สองคนแล้วก็อยากให้พ่อได้รับรู้ไว้ว่าลูกวางแผนอะไรไว้บ้าง
,neutral,,พอเจอวิกฤต
,negative,46.0,ตามที่ดิฉันได้เรียนแจ้งไปเมื่อซักครู่นี้อ่ะค่ะ
,positive,31.0,ขอบคุณมากเลยนะคะ ให้บริการดีมาก
,positive,11.0,บริการดีมาก
,positive,15.0,บริการยอดเยี่ยม
,neutral,,เพราะว่าอะไรเพราะว่าเขาบริหารกองอยู่เนาะอยู่นี่กำลังจะออกไปนะ
,neutral,32.0,บัตรที่ได้มาเราไม่ค่อยผ่อนสินค้า
,neutral,,ราคามัน
,positive,11.0,บริการดีมาก
,neutral,,ดูให้ดีนะครับ
,neutral,59.0,จริงๆฐานเงินเดือนยังถือว่าน้อยเกินกว่าจะทำบัตรเครดิตได้นะคะ
,neutral,,น้ำมันถูกกระจายไปหมดแล้วนะครับเพราะฉะนั้น
,positive,19.0,ให้ข้อมูลรายละเอียด
,neutral,,งั้นต้องเข้าใจตัวเองด้วย
,neutral,,ตัวตราสารหนี้มันใหญ่ขึ้นพอร์ตทั้งเล่มเล็กลงแค่นั้นแล้วก็กรอง SF
,neutral,,คนฟังอาจจะเพิ่งกลับ
,neutral,,กลุ่มเกษียณอื่นๆ
,neutral,,อิเล็กทรอนิกส์เนี่ยมันมา
,neutral,,ช่วงนี้มี
,neutral,,เหมือนชื่อรายการนะครับสำหรับวันนี้
,neutral,,ก็เขียนมาปรึกษา
,neutral,,มันไม่ไปถึง
,neutral,,เชื่อป่ะเนี่ยเริ่มเห็นแล้วอ่ะ
,neutral,,เมื่อคืนสุดท้ายแล้วเนี่ยเขียนจดหมายฉบับนี้มาเพื่ออยากบอกให้พ่อรู้ว่า
,neutral,,ต้องจ่ายค่าเช่าจะต้องจ่ายค่านู่นค่านี่อยู่
,neutral,18.0,อะไรนะ กดยูเมะพลัส
,neutral,53.0,ผมมีบัตรเครดิตระดับเทพๆมากมาย วงเงินบัตรเครดิต 7 หลัก
,neutral,,เขารู้เลยแหละผมบอกให้เขามาหลายเจ้าที่ทำพวกสินค้าแบบแรกๆสิ่งนี้
,neutral,,ใช่ครับก็เลยไม่รู้ว่ามีอะไรก็เห็นด้วยกับเราต้องมีวัตถุประสงค์ที่ชัดเจนแผน Exit ทางออกอะไรที่ชัดเจนครับได้ระหว่างทาง
,neutral,,ได้ๆๆก็อย่างที่บอกไว้ตอนต้นที่จริงอยากให้กลับมาดูกันว่าตอนนี้มีอะไรอยู่แล้วว่าจะบอกพี่ผมมีกองอสังหาริมทรัพย์ผมมีกองตราสารหนี้มีหนี้อยู่ประมาณแบบนี้แต่หน้าตา
,positive,30.0,เจอน้องคนแรกเลยที่ให้คำแนะนำดี
,negative,121.0,ดิฉันเข้าใจค่ะ cs ได้ใช้คำพูดได้ย้ำรายละเอียด promotion ทุกๆ ทำให้ลูกค้ารู้สึกว่าทำให้ลูกค้าเหมือนเป็นคนอ่านรายละเอียดผิด
,neutral,,การใช้เงินอะไรก้อนใหญ่ๆอะไรเราก็
,neutral,,ถ้าไม่ดีไม่มีอะไรมากคิดว่าการฝากไว้น่าจะง่ายที่สุด
,positive,17.0,บริการดีมากเลยค่ะ
,neutral,,ภาพใหญ่ยังพกพา
,negative,8.0,ไม่มีค่ะ
,neutral,40.0,ใช้มา 10 เดือนแล้ว ยังไม่ปรับวงเงินเพิ่ม
,neutral,,ที่จะเริ่ม
,neutral,,ว่าอยากจะเชียร์มีคำว่า
,neutral,73.0,เช่น เงินประจำตำแหน่ง ค่าเช่าบ้าน  ค่าอาหาร ซึ่งเป็นสวัสดิการ(ตามแต่ละ บ)
,neutral,,ร่วม
,neutral,,กองนี้มา SF
,neutral,,แต่ว่าไม่ได้กดลิงค์เลยค่ะนักลงทุนจะดูเป็นภาพใหญ่
,neutral,54.0,ประหยัด อดออม ถึงใครจะมองว่าขี้เหนียว ไม่สนค่ะ สู้ๆค่ะ
,neutral,36.0,แล้ว ก็เริ่มทยอยชำระหนี้รายอื่นต่อไป
,neutral,,นะครับน้าบริษัทใจเยอะนะความ
,positive,11.0,บริการดี๊ดี
,neutral,,ก็คือ SME ปากท้องธุรกิจที่จับต้องได้จริงๆที่เราเห็นเงินที่มันหมุนจริงๆ
,neutral,,ทำตามมาตรฐานนู่นนี่นั่นเรียกว่าสอดคล้องกับมาตรฐานกฎเกณฑ์กฎหมายต่างๆไม่ทำตัวให้มันมีปัญหาแน่นอน
,neutral,,ตะลุยรับความเสี่ยงได้สูงขึ้นมาแล้วหลายปีนี้จัดอีกอย่างไรหนักกว่าเธอก็เจอมาแล้ว
,neutral,,"ตอนนี้ก็สะท้อนขึ้นมาบอกว่า 1,000 บาทมันจะเป็นตัววีนะบางทีมันก็ทำให้คน"
,neutral,19.0,ไม่เดือดร้อนลูกหลาน
,neutral,,ยังไม่ถึงปีเลยก็ลองคำนวณเผื่อไว้ 12 เดือนเดือน
,neutral,,เบ็ดโชว์ต่างๆต้องศึกษาให้มันละเอียด
,positive,29.0,น้องดูแลลูกค้าได้น่ารักมากเลย
,neutral,,เอาที่ผมลงถุงมือ
,neutral,,แล้วก็มองต้นทุนให้รอบด้านในครับอย่ามองแค่ว่าอีดอกเบี้ยมันขยับ
,neutral,,ประจำ
,neutral,,ผงซักฟอก
,positive,34.0,บริการดีมากเลย อุตส่าห์หาข้อมูลให้
,neutral,62.0,ด้วยตัวเอง จะได้ไม่เสียใจเสียเวลาเสียสุขภาพจิต เพราะพลาดคนอื่น
,neutral,,แล้วมาเจอสถานการณ์แบบนี้แบบนี้
,positive,11.0,บริการดีมาก
,neutral,,"ตอน 909 1,000 เป็นยังไง"
,neutral,,ต้องไปคุยกับรายละเอียดอีกทีนึงค่ะ
,neutral,39.0,เราก็โทรกลับพร้อมแจ้งเปลี่ยนเบอร์ติดต่อ
,positive,12.0,ดีมากๆเลยค่ะ
,positive,31.0,ดีมากๆเลยค่ะ ชมว่าดีค่ะ โอเคค่ะ
,neutral,,"ปัจจุบันครับมีกองทุนรวมสามกองกองทุนทองเดือนละ 1,000 บาท"
,neutral,59.0,ช่วยยกเลิกประกันที่โทรมา จะหักเงินกับเฟิรสช้อยส์ให้หน่อยค่ะ
,neutral,26.0,เค้าบอกว่ามี 2 ล้านรายครับ
,neutral,,กรมทัณฑ์ประกันชีวิตสมุดบัญชีทุกอย่างพยายามเก็บรวบรวมไว้ที่นี่แล้วก็มีใบปะหน้าก็เหมือนกับเป็น
,neutral,,nan
,positive,35.0,ขอบคุณมากๆ เลยนะค่ะ ที่ประสานงานให้
,neutral,,อันนี้ก็แล้วแต่
,neutral,46.0,อยากกู้ซื้อบ้าน ราคา 19 ล้าน ร่วมกู้กับแฟน ค่ะ
,negative,25.0,คุณพูดแบบนี้ไม่ใช่แล้วค่ะ
,neutral,,ไม่ค่อยมีโชคกับการช่วยเหลือผู้อื่นนะครับผมครับผมแล้วก็พวกเพื่อนๆของคุณพ่อเนี่ยก็มีประสบการณ์ในการเล่นหุ้น
,neutral,,รายวันขนาดนั้นคือเกาะติดในฐานะสื่อมวลชนมากกว่าว่าเกิดความเคลื่อนไหวอะไร
,neutral,,ลิเวอร์พูลคุ้มกันทางการเงินของแต่ละบริษัท
,neutral,,ตลอดเวลานะครับ
,neutral,,sfx
,neutral,41.0,กรุงศรีคอนซูมเมอร์ ขออนุญาตแนะนำผลิตภัณฑ์
,positive,9.0,น่ารักมาก
,neutral,,อันนี้มันเป็นมันเป็นเรื่องของความเชื่อ
,neutral,,nan
,neutral,34.0,ถ้าคนมันจะคบกันใครก็ทำไรไม่ได้หรอก
,neutral,27.0,สมัยก่อนโน้นผมสมัครไป 10 ใบ
,neutral,,ผลกำไรผลประกอบการเขาก็ไม่ได้สวยหรูอะไรมากก็ยังปกติแต่
,neutral,65.0,เท่าที่อ่านคุณก็กวนเขาพอสมควรเลย สิ่งที่คุณได้รับมันก็คงประมาณนี้
,neutral,,คนชอบถามว่าลงทุนอะไรดีสู้ตัวไหนดี
,neutral,,จะกู้ได้มันต้องมีแผนว่าจะเอาเงินไปใช้
,neutral,,ของธนาคารสีชมพูแห่งหนึ่งครับผม
,neutral,13.0,หรือไม่ให้เลย
,neutral,,การเงินงบการเงินส่วนบุคคล
,neutral,,มันก็ยังไม่หมด 500 นี้นะก็จะไปมองก่อนไหม
,positive,10.0,โล่งมากเลย
,neutral,11.0,ไม่มี ผลบุญ
,neutral,,ที่ที่มีสิทธิ
,neutral,,ก็สามารถดูได้เลยว่าข้อมูลเนี่ยมีตรงไหนที่เขาเปิดขายบ้างนี่
,neutral,,อุตสาหกรรมของเขาที่เป็นเอนจิ้นในการขับเคลื่อนของเขาอย่างหนึ่งก็คือ
,neutral,14.0,มันอาจจะไม่เท่
,neutral,109.0,ลองสมัครบัตรเครดิตแบบที่ใช้เงินฝากค้ำดูครับ มีหลายธนาคารให้สมัครวิธีนี้เช่น scb ktc กรุงศรี และอีกหลายที่ครับ
,negative,20.0,ทำอะไรไม่ได้เลยหรอคะ
,positive,30.0,ขอบคุณมากนะคะ ที่ให้คำแนะนำค่ะ
,neutral,,ตัวไหนเด่นเรื่อง
,neutral,,จบแล้วก็ไปฟังของคนอื่นต่อไปเรียนรู้ต่อไปอ่านหนังสือเล่มใหม่ๆต่อ
,neutral,,ส่วน porn
,positive,47.0,เดี๋ยวพี่ประเมินเจ้าหน้าที่ให้ น้องน่ารักมากเลย
,neutral,,อยู่ที่ว่ากระสุนที่มี
,neutral,,รายการทรัพย์สินหนี้สินตรงนี้ให้รู้กันไว้นะ
,negative,11.0,คุณจบอะไรมา
,neutral,,จริงยาวยัน
,neutral,,บริษัทที่มีพนักงานเป็นหมื่นอ่ะ
,neutral,,ครับเราไปก่อนพบกันใหม่ในวันพุธหน้าสวัสดีครับสวัสดีครับติดตามทุกรายการของ The Standard
,neutral,,IMF
,neutral,44.0,อยู่ที่การใช้งานของ จขกทค่ะ ว่าใช้แบบไหนบ่อย
,neutral,,ใช่ครับก็อย่างที่พี่หนุ่มพูดไปนะครับคือถ้าย้อนกลับไปเมื่อ 2-3 เดือนที่ผ่านมาในช่วงที่ 6
,neutral,,ตลาดก็จะไม่ขึ้นมากแล้วก็เลยบอกว่าโอเค
,neutral,,คำถามคือถ้าถือเงินมาเรื่อยๆดอกเบี้ยก็ไม่ได้รถ 1.9 ยังคิดเอาอยู่ดอกเบี้ยฝั่งนี้ก็คิดด้วยนะ
,neutral,,คำนวณให้ผิด
,neutral,37.0,เซนทรัลทั้งสองยอดเพราะวงเงินไม่พอครับ
,neutral,51.0,อาจจะต้องรอซัก 6 เดือน - 1 ปี แล้วค่อยสมัครใหม่ครับ
,neutral,,หมู่บ้านที่สำคัญนะ
,neutral,,ทำท่าเหมือนจะตก
,neutral,,"200,000 บาท"
,neutral,,จะมีกลุ่มบางธุรกิจ
,neutral,59.0,กดเครื่องคิดเลขกดแล้วกดอีก เสียเวลาก็ยอม ดีกว่าเสียใจทีหลัง
,negative,82.0,บริษัทคุณควรจะอบรมพนักงานให้ดีมากกว่านี้ จะไม่ได้เกิดเหตุการณ์กับลูกค้าท่านอื่นอีก
,neutral,,"20,000 กว่าใช่ไหมพรุ่งนี้"
,neutral,,ได้ยินเสียงอยู่นะครับตอนนี้เราไม่ใช่คนขายเสียงร้องคนขายภาพลักษณ์ด้วย YouTube ด้วยนะครับ
,neutral,36.0,เอาเงินดาวน์ปิดยอดบัตรให้หมดไปก่อนซิ
,neutral,,ในกิจการหลายๆกิจการนะและเชื่อว่าน่าจะ
,neutral,,อย่างมีระบบความคิดที่ถูกต้องมีความรู้นะครับแล้วก็
,neutral,,ไอ้เทคโนโลยีนั่นแหละ
,neutral,,SF
,neutral,,เปรียบเทียบแปลว่า
,neutral,15.0,อายุงาน 3 เดือน
,neutral,,ให้ดูก่อนว่าถ้าเรายังใช้สิทธิประโยชน์เรื่องกองทุนประหยัดภาษีต่างๆ
,neutral,63.0,รอเราพร้อมค่อยจ่ายก็ได้ แต่ก็ต้องยอมรับว่า อาจมีผลเรื่องของบูโร
,neutral,,อยู่บ้านพี่มีแค่ค่าไฟกับค่า
,neutral,,กู้ซื้อบ้าน
,neutral,,ถ้าจะเริ่มถ้าจะอะไรยังไงนะครับคิดเห็นยังไงแล้วก็มีคำแนะนำยังไงบ้าง
,neutral,,ตัวเองนะว่าเรากระจายสินทรัพย์ลงทุน
,neutral,,S S S S S
,neutral,47.0,คิดว่าเพื่อนๆที่ได้อ่านคงเอาไว้เป็นอุทาหรนะครับ
,neutral,,รักน้องเขามาก
,neutral,,อย่างน้อย margin เราก็ได้มากกว่า
,neutral,,ที่ทำได้คือการทำลาย
,neutral,,พี่ทักไปเนี่ยแทนที่จะมีหุ้นลงทุนในหุ้น 70 เปอร์เซ็นต์มีเงิน 100 บาท
,neutral,,ฟ้องเมื่อกี้ 200 200 แล้วก็ไม่จำกัด
,neutral,,nan
,neutral,,อยากจะใช้สิทธิประโยชน์ทางภาษีด้วยอยากจะรู้เรื่องการลงทุนด้วยนะมันเป็นเนื้อมันคือหุ้นทั้งนั้นเลยแล้วครับเขาเชิญแขกรับเชิญของเรา
,neutral,12.0,คือไม่เที่ยว
,neutral,,ได้ปลาหลายตัวที่เรามาในหัว ok ครับ
,neutral,,SF
,neutral,11.0,tmb นั้นเอง
,neutral,,ผมว่าก็ต้องดู
,neutral,,ผมใช้เงินบัตรเครดิตผมลดลงไป 2 เท่า
,neutral,42.0,พอส่งเรื่องร้องเรียนไป สคบ ว่าชำระเงินแล้ว
,neutral,,นี่แหละเติมที่เจ๋งอยู่แล้ว
,neutral,35.0,ในชีวิตจริง ความสำเร็จมันผ่อนไม่ได้
,neutral,78.0,เลือกผ่อนชำระสินค้า บริการได้ตามต้องการ ณ ห้างสรรพสินค้าและร้านค้าชั้นนำทั่วไป
,neutral,29.0,เห็นติดแท็ก ซิตี้แบงค์ น่ะค่ะ
,negative,14.0,ผมจะยกเลิกบัตร
,positive,22.0,ให้ข้อมูลละเอียดมากค่ะ
,neutral,,dec
,neutral,,กองทุนลงทุนประเทศอะไร
,positive,37.0,เรียบร้อยแล้ว ชัดเจนครับ ขอบคุณมากเลย
,neutral,,เราก็ไม่ได้คาดหวังว่าจะได้ขึ้นลงเข้าไปแบบนั้น
,neutral,,ค่าธรรมเนียมก็อยู่ที่ประมาณเท่าไหร่ครับ
,neutral,,แบบ 30 กว่าผมซื้อปีนี้ผมจะขายเป็นเครื่องมือหลักในการออกแบบ
,neutral,48.0,แต่พอดีแฟนผมมีtmbแล้ว ผมเลยเบนเป้าไปหากรุงศรีแทน
,neutral,,อุปโภคบริโภค
,neutral,12.0,ไม่ต่างกันนะ
,neutral,,ทุเรียนยาวแล้ว
,neutral,,ผมว่าฟลุ๊คๆเนี่ยไม่มี
,neutral,34.0,สามารถทำบัตรเครดิตของอะไรได้บ้างคะ
,positive,11.0,บริการดีจัง
,neutral,,ครับเรียบร้อยครับพี่กลุ่มแรกเทคโนโลยีครับผมจะไปแกะและอิเล็กทรอนิกส์อย่าไปยุ่ง
,neutral,,เราจะ work from home มากขึ้น
,neutral,,สุดท้ายก็คือ
,neutral,27.0,ไงก็ลองดูนะคะ ขอให้สมหวังคะ
,negative,23.0,แจ้งว่าไม่ได้อย่างเดียว
,neutral,,ซื้อปุ๊บก็ต้องต้องวางแผนเรื่องการเงินด้วยเพราะมันจะถูก
,neutral,,ว่าเขาจะต้องมีความระมัดระวังมากขึ้น
,neutral,,ดีและร้ายทางการเงินมาพูดคุยกันครับ
,neutral,42.0,scb สปีดี้แคช คะทำได้ทั้งแต่ 1 เดือนขึ้นไป
,neutral,114.0,สั่งซื้อเสร็จ ก็โทรถาม cc ว่าจะได้สินค้าระหว่างวันนี้ถึงวันนี้ใช่ไหม cc ตอบ ใช่ ก่อนเดดไลน์ก็มีการโทรสอบถามเรื่อยๆ
,neutral,,รูปแบบการเก็บเงินเนี่ยไม่ว่าจะเก็บไว้ในเงินฝากเก็บไว้ในหุ้นสหกรณ์เก็บไว้ในกองทุนรวม
,neutral,50.0,ขออนุญาตเรียนแจ้งข้อมูลสำหรับงาน homepro fair 2017
,negative,15.0,กรุงศรีฯหลอกลวง
,positive,20.0,บริการได้ดีมากครับผม
,neutral,,ราคาเป็นวันนี้เราจะคุยกันเพราะว่าแม่ต้องบอกว่า
,positive,26.0,สถานที่สวยงาม ห้องอาบน้ำดี
,neutral,,ข่าวเกี่ยวกับเศรษฐกิจ
,neutral,,กลับครับผมกับแฟนคนก่อนที่เป็นชาวต่างชาติครับผม
,positive,31.0,ขอให้รักษา service แบบนี้ตลอดไป
,neutral,59.0,ปล พอดีเพิ่งจะจ่ายยอดทั้งหมดไปเมื่อวานจะกดได้อีกเมื่อไหร่คะ
,neutral,,เขาทำตามที่
,positive,14.0,ขอบคุณทุกคำตอบ
,neutral,,ในช่วงวิกฤตเราจะเห็นหุ้นตัวนึงซึ่งเจ้าของเองเขายังตกใจเลยอย่างคุณ Zoom นะครับสายๆ
,neutral,,กายครับ
,neutral,49.0,ถ้าเอามากดเงินสด อย่างต่ำ 18% อาจมีบวกค่ากดอีก 3%
,neutral,,แล้วพบกันใหม่ตอนหน้าครับวันนี้ลาไปก่อนนะครับสวัสดีครับสวัสดีครับติดตามทุกรายการของ The Standard
,neutral,,แล้วเราก็บอกเขาว่าเรารู้เราศึกษามาดีเพราะฉัน
,neutral,,พี่ก็พูดเหมือนกันผมคุยกับผู้การที่ไหนก็เหมือนกันบอกว่า
,negative,16.0,น้ำเสียงราบเรียบ
,neutral,,ภาพรวม 10 เจ็บเท่าๆกันเจ็บหนักเท่ากันหมดเลย
,neutral,15.0,ก็ผ่อนมาเรื่อยๆ
,neutral,,เราก็บางส่วนที่ไม่เสี่ยงที่เงินฝากที่พ่อบอกแล้วก็มีส่วนที่มีสายความเสี่ยงอยู่บ้างแต่มันก็ในระยะยาวก็ได้ผลตอบแทนดีเหมือนกัน
,neutral,,เอาตัวรอดอย่างเดียวได้ครับ
,neutral,,เวลา
,neutral,18.0,ลูกค้า ไม่ได้เอามา
,neutral,71.0,ผมทำแบบนี้มาตลอด มันจะน้อยลงเรื่อยๆ จนเดี๋ยวนี้ไม่มีประกันโทรมาหาผมแล้ว
,neutral,,อะไรใหม่ๆเยอะนะมึงขับรถอยู่ดีก็มีเสียงโทรศัพท์มีรายได้ดีประวัติการชำระเงินดีอะไรก็ได้มีหนี้สินเชื่อพิเศษวงเงินสูงสุด 5 ล้าน
,neutral,,ต้องบอกว่าไม่ใช่ร้านอาหารนะครับไม่ใช่ร้านอาหารยืนยันอีกครั้งหนึ่งว่า
,neutral,26.0,ในเร็ว ๆ นี้นะคะ ขอบคุณค่ะ
,neutral,39.0,สัญญาโอเคแหละครับ แต่ไม่น่ามีผลอะไรหรอก
,positive,10.0,สมบูรณ์แบบ
,neutral,61.0,แต่ไปสมัคร กสิกร เฟิสช้อย kct  ก็ไม่ผ่าน บอกไม่ผ่านการพิจารณา
,negative,42.0,ค้นหาข้อมูลแค่ลูกค้าแจ้งมาแค่ ไม่มีในระบบ 
,neutral,40.0,ภาระหนี้ที่มีกับทุกสถาบันการเงิน เป็นต้น
,neutral,,"หรือแค่ว่าเขาจะเอา 50,000 บาทดอก 300 35% ต่อเดือน"
,neutral,,การบริการจากกลุ่มหุ้นกลุ่มเทคโนโลยีหรือบริษัทที่เป็นเทคโนโลยี
,neutral,,เลือกซื้อได้ตามอัธยาศัย
,neutral,15.0,ปกติจะไม่ได้รูด
,neutral,,ผมมอง
,positive,40.0,ขอบคุณอย่างสูงนะคะ บริการเยี่ยมมากเลยค่ะ
,neutral,,เขาใช้แน่ๆมันเป็นอะไรที่พูดยาก
,neutral,,หมายความว่า
,negative,45.0, ค้นหาข้อมูลแค่ลูกค้าแจ้งมาแค่อมรไม่มีในระบบ 
,neutral,,สนใจรับพิมพ์ชื่อลงไปใน Google
,neutral,,เวลาลงทุนของผมเองเนี่ยผมจะมีคุณพ่อครับคุณพ่อจะเป็นคนหนึ่งที่เป็นนักลงทุนมาเป็น 20-30 ปีแล้ว
,neutral,77.0,ผมก็เอารายละเอียดให้กับทางร้าน ก็รอประมาณเกือบๆ ชม ร้านค้าโทรมาแจ้งนัดติดตั้ง
,neutral,,ให้ดูทั้งหมดเลยว่าเฮ้ยแล้วค่าธรรมเนียมอื่นๆแบตเสร็จแล้วเนี่ยมันโอเคหรือเปล่า
,neutral,,ออกพันธบัตรมีอะไรงี้เรื่อยๆครับก็พยายามที่จะเอาเงินที่เรามีไป
,neutral,,ตายของคุณด้วยเป็นแบบไหนสินทรัพย์ที่มันมีในพอร์ตเดิมเป็นยังไงถ้าเป็นคนแบบ
