texts,labels
พวกเราจริงๆคนที่,neutral
ของเราก็อยากจะจัดรายการพิเศษให้นะครับเรียกว่า,neutral
ผมต้องไปแจ้งร้องเองหรือบัตรเครดิตมีบริการนี้อยู่แล้ว,negative
ปาดเหงื่อกันไปตามๆกันถึงแม้จะไม่ได้แย่เท่าที่คิด,neutral
อยู่ที่สถาบันเขาแหละครับ พวกมืออาชีพเขายืดหยุ่นกันได้,neutral
บริการดีมาก,positive
ขอให้บอกกับหัวหน้างาน หรือผู้บริหารให้รับทราบ คุณบริการลูกค้าได้ดีมาก,positive
อยากกู้ซื้อบ้าน ราคา 19 ล้าน ร่วมกู้กับแฟน ค่ะ,neutral
กองทุน 3000 3500 สหกรณ์อีก 5000,neutral
พูดเร็วมาก ฟังไม่ทันเลยค่ะ,negative
nan,neutral
ตอนนี้ท้อมาก อยากรู้ว่าทำไมถึงไม่อุมัติ จะได้แก้ไขตรงนั้น,negative
amex platinum charge card,neutral
F,neutral
ตัวยู,neutral
บัตรในเครือกรุงศรีเรามีเฟิสช้อยใบเดียว,neutral
ที่ จขกททำอยู่เรียกว่า ลิงแก้แห,neutral
เห็นด้วยกับพี่เจนนะครับเรื่องการ,neutral
เมียก็ได้ยินมาตลอดแล้วทำให้สมัยเรียนเนี่ยหงุดหงิดมากเลย,neutral
คือโฮมโปร+แพททินั่มวีซ่า (ดูโอ้),neutral
น้องอธิบายเข้าใจดีจัง เยี่ยมมากๆ เลย,positive
ใบที่ห้า - cimb platinum - 142 เท่า,neutral
รู้สึกแย่มาก,negative
ผมคงไม่บอกว่ามันทะอะไรมันจะเป็นยังไงก็ลองไปคิดตอนนี้คือว่านี่คือการการมองแบบ,neutral
ตราสารการเงินกูต้องไปดูเรื่องดี,neutral
หน้าลอกเป็นรายการพิเศษ 12 ตอนของพวกเราเนี่ยจะพูดถึงเรื่องการลงทุนในหุ้นครับ,neutral
วิเชียรเป็นยังไงบ้างครับประหยัดมากขึ้นไหมทำอาหารกินเองบ่อยขึ้นไปมันจะเป็นประหยัดครับประหยัดมากขึ้นเพราะอยู่บ้านผมว่ามันใช้เงินน้อยลง,neutral
ก็คือเจ็บมาเยอะพูดง่ายๆครับเจ็บมาเยอะ,neutral
ขอบคุณค่ะชี้แจงละเอียดมาก,positive
using The stranded,neutral
รวม 103 000 ไม่ถึง 120 000 นะ,neutral
อยากทราบโปรโมชั่นค่ายทรูเดือน ตค 60 นี้ มีผ่อน,neutral
nan,neutral
ชีวิตคู่ก็ยืนนานแล้ว,neutral
คุณอธิบายได้ละเอียดมากเลยค่ะ ดีมากค่ะ,positive
นี่มันหลอกลวงผู้บริโภคชัดๆ,negative
เพราะตอนนี้มันมี App LINE App นะครับ,neutral
เดี๋ยวจะประเมินผลดีเยี่ยมให้ครับ,positive
ก็เงียบไปเลยไม่มีการติดต่อใดๆถามccก้อได้แต่ให้รอฝ่ายสินเชื่อ,negative
แฮปปี้เลย ชื่นชมคุณ เดี๋ยวให้แต้มเยอะๆ,positive
เสียงแบบนี้ฟังแล้วค่อยสบายใจ อยากคุยด้วย,positive
บ่อยๆหน่อยระหว่างทาง,neutral
ดีจัง,positive
อธิบายดีมาก,positive
ทัศนคตินี่มันต้องใช้เวลาในการประ,neutral
คุณดูผิดหรือเปล่าคะ,negative
ขอบคุณมากๆนะคะดูแลและให้ข้อมูลได้ดี,positive
เงินตราต่างประเทศที่เราจะใช้อยู่แล้วเนี่ยก็เป็นวิธีการวิธีการหนึ่งในการจัดการอัตราแลกเปลี่ยน,neutral
แล้วทุกที่ที่คุณสั่งถอดแก๊สได้แล้ววันนี้,neutral
อนาคตวิกฤติ npl ชัดมาก,neutral
เอาที่ผมลงถุงมือ,neutral
สุดยอดของการบริการเลย,positive
อาหารคนก็ต้องกิน,neutral
ไปได้ไปได้ของมันอยู่แล้วเพราะยังไงก็ต้องซื้อแล้วเขาก็,neutral
เปียกอ่ะพี่,neutral
น้องเขาไม่ได้บอกว่าเขามีเงินเก็บอยู่เท่าไหร่,neutral
แก้ไขข้อความเมื่อ 30 กรกฎาคม 2560 เวลา 16:39 น,neutral
กระจ่างครับ ขอบคุณ,positive
clear ปัญหาได้เยี่ยมเลยขอบพระคุณครับ ช่วยดูแลเหมือนญาติเลยนะเนี่ย,positive
กระจอก,negative
แต่ผมจะรีบกลับไม่เถล่ไถล่ ไม่นอกใจทั้งคู่สามี ภรรยา และบอกรักภรรยาทุกวัน,neutral
พอเกิดเหตุการณ์แบบนี้ขึ้น คุณไม่รับผิดชอบ,negative
มาขอบอกไม่ชอบบ้าง,negative
eva อีกเสียง,neutral
การการเงินเถ้าแก่,neutral
ธรรมดากับ extra,neutral
เยอะมาก ไม่ทำเด็ดขาด พูดชัดๆ ว่า ไม่ทำเด็ดขาด,negative
จะได้ลงรายละเอียดว่ามันดีมันเหมาะจะซื้อไปใช้ในการจัดการ,neutral
ถ้าพอขวนขวายหามาชำระได้ ก็ขวนขวายหามาชำระ,neutral
เเต่ผลไม่ผ่าน ไป สมัคร เฟริสช้อย ผ่านเฉย,neutral
คืนเงินสะดวกดี,positive
เปลี่ยนซะอย่างนั้นมีฝั่งนึงคนที่,neutral
จริงจังแล้วนะไข่ปลา 2 จุด,neutral
พี่ทักไปเดี๋ยวมันก็จะขึ้นมา,neutral
แล้วก็มองต้นทุนให้รอบด้านในครับอย่ามองแค่ว่าอีดอกเบี้ยมันขยับ,neutral
มากกว่าที่ผมจะแบบวิทเลยผมไม่ได้คิดอย่างนั้นฉันผมก็จะใจเย็นๆของผมค่อยๆดูกันไปไม่รีบร้อน,neutral
ทำงานกันประสาอะไร,negative
อิเล็กทรอนิกส์,neutral
สามารถเข้าไปดูได้,neutral
"2,000",neutral
ให้คำแนะนำที่ดีมาก,positive
แต่กูไปหน่อยนึงไม่แน่ใจว่า 5 หมื่นไปปิดหมดแล้ว,neutral
ดอกเบี้ยเวลาที่เราจะ,neutral
แต่ต้องเจาะลายอุตสาหกรรม,neutral
บอกปัดลูกค้าให้ติดต่อร้านค้า,negative
ยังไงว่าใครมีกระสุนดีกว่า,neutral
เงินที่เราใส่เนี่ยมันก็จะเอาไปลงนั่นแหละ,neutral
ล้างมืออะไรที่เกี่ยวกับความสะอาด,neutral
อันนี้มันก็ยังสามารถที่จะไปต่อได้,neutral
แล้วก็คือการฝากไว้ในรูปเงินตราอันนั้นไปเลยตัดอันนี้ก็เป็นวิธีการหนึ่งที่เขาใช้กันถ้ามีวิธีการอื่นอาจจะมี Forward นะมีเรื่อง Option,neutral
พอมาหักอีกทีก็ทำเรื่องผ่อนไม่ได้แล้ว คือก็งง,negative
fund Manager เข้ามาหรือพูดไม่ดีเอาออกมายังไม่ว่างเลยคัดเลือกประจำเลยเขตเข้าซื้อเข้าขายออกก็แล้วแต่วันนี้หุ้นปันผลหุ้น,neutral
ช่วงนี้มี,neutral
เรื่องเงินตราต่างประเทศในอนาคตในอัตราแลกเปลี่ยนเราไม่ได้จริงๆว่าใครจะแข็งแกร่งใครจะยิ่งใหญ่ใครจะอัตราแลกเปลี่ยนดีกว่าฝั่งนึงใครจะเงินแข็งเงินอ่อนนะ,neutral
เซ็นทรัล รอผล ไม่เกิน 1 ชม,neutral
หากควรแลกเก็บไว้ควรเก็บเป็น Singapore Dollar หรือ US Dollar หรือหยวนหรือยูโรดีคะหนูมาหลากหลายน่ารักๆครับพี่,neutral
ไม่ผ่าน,neutral
ผู้บริหาร,neutral
เจ้าล่ะคะ,neutral
อ้าง policy ความปลอดภัยตลอดทั้งๆที่ปัญหาเกิดจากตัวธนาคารเอง,negative
พอดีสมัครบัตรกดเงินสดเฟิสช้อยมาค่ะ,neutral
นึกว่าไม่เกิดเมาฉิบหาย effect ไม่เกิดการใช้เงิน,neutral
มีให้คะแนนมั๊ย พี่จะให้ 100 เต็มเลย บริการดีมาก ข้อมูลแน่นมาก ไม่เคยเจอใครแนะนำดีขนาดนี้มาก่อน,positive
ติดตามสถานะการส่งยากมากๆค่ะ,negative
อุตสาหกรรมเหล่านี้,neutral
ก็เลยก็เลยคิดว่าจริงๆน่ะถ้าบอกว่า 3 ปี,neutral
ทุกวันนี้ก็ยังโทรมาอยู่ดี,negative
ดูการลงทุนต้องอาศัยความรู้นะครับแล้ววันนี้หมอนัดก็ให้ข้อมูลที่เป็นความรู้กับเราทั้งหมดเลยนะ,neutral
cs ควรกล่าวขออภัยและขอคุยสายกับทางสาขาเพื่อรีบหาทางแก้ไขปัญหาให้ลูกค้า,negative
ว่า,neutral
ใจเย็นในการทวนข้อมูล ให้ข้อมูลเข้าใจง่ายและค่อนข้างละเอียด,positive
พูดแบบนี้มา 13 วันแล้วครับ ช้าไปไหมครับ,negative
nan,neutral
ถ้าไม่ทราบไม่เป็นไร,negative
"หรือแค่ว่าเขาจะเอา 50,000 บาทดอก 300 35% ต่อเดือน",neutral
เงินเดือนพนักงาน,neutral
ทั้งนี้ต้องขออภัยในความไม่สะดวกที่เกิดขึ้นด้วยนะคะ อย่างไรรบกวนแจ้ง ชื่อ และ นามสกุล,neutral
อะไรวะ เมื่อไหร่จะได้ของวะ,negative
แอบซ่อนอย่างเดียวแต่ก็ต้องแอบที่จะสะกิดบอก,neutral
1 เกณฑ์การพิจารณาสินเชื่อของแต่ละธนาคารแตกต่างกัน,neutral
อยากลงทุนอย่าของตัวเองนะครับอะไรครับผมแต่สิ่งนึงที่,neutral
แต่อย่าลืมว่า เขาทำธุรกรรมผ่านกรุงศรีเท่านั้น,neutral
ขอบคุณที่ให้บริการ และให้ข้อมูลที่ดี ได้รับข้อมูลที่ดีมากเลย,positive
ครับอะไรก็ได้ลงทุนประมาณ 7 ปีปฏิทินให้กลายเป็น 10 ปีโดย,neutral
พูดตรงๆค่อนข้างแข็งแกร่งเพียงแต่,neutral
เรียกว่ามิวในค่ายหรือสังกัด,neutral
ขอบคุณสำหรับการบริการดีๆนะคะ,positive
ทำให้สภาพคล่องในตลาดการเงินการลงทุน,neutral
เราเป็นนักศึกษา สมัครแบบนักศึกษาของกรุงศรีไป ค้ำหมื่นนึง อาทิตย์เดียวได้บัตรเลย,neutral
ให้คำแนะนำดี ติดตามเรื่องให้พี่ดีมากเลย,positive
เป็นนักเรียนรู้ด้วยนะพยายามเก็บข้อมูลหาข้อมูลแล้วก็ต้องติดตามเพื่อให้เราไว้แล้วก็เราทันนะ,neutral
ได้เลยได้เลยครับพี่ใช้ได้ใช้ได้เลยนะครับแล้วก็แม่,neutral
ไม่ทราบเหมือนกันครับ,neutral
จนวันนี้ผ่านมา19วันไม่มีการติดต่อกลับ,negative
ต้องพยายามออมเงินตอนนี้,neutral
เจอเพราะว่าในระยะเนี่ยขั้นต่ำก็เป็นประมาณล้านนึงอะไรอย่างนี้นะครับเขาทำกันละนะถ้ามันก็จะแบบ,neutral
ไปกู้หนี้ยืมสินออกหุ้นกู้บ้างแหละ,neutral
ทุกปีก็เก็บไว้ในเก๊ะ,neutral
เล่นหุ้นต้องศึกษาไม่ใช่ว่าตามเพื่อนส่วนใหญ่คนชอบตามเพื่อน,neutral
เซนทรัลทั้งสองยอดเพราะวงเงินไม่พอครับ,neutral
แต่ต้องบอกจริงว่าไม่กล้าแนะนำว่าอะไรมันจะพุ่ง,neutral
มันอาจจะไม่เท่,neutral
ให้ข้อมูลกระจ่างมากเลย เคลียร์มากเลย ถ้าผมจะชมพนักงาน สามารถชมที่ไหนได้,positive
จากที่เราต้องมาลุ้นว่าอันนี้มันเป็นคำถามแนวไหน,neutral
ธรรมดากี่โมงรออยู่ในนี้,neutral
ชะลอหรือว่าเลื่อนการลงทุนออกไปก่อนอันนี้เห็นแต่จะมีอีกกลุ่มนึงครับ,neutral
อาจจะมีการขยายกิจการในการลงทุน,neutral
ร้อยละ 0.25,neutral
มีบ้างแต่ในแง่ของคุณเนี่ยผมอาจจะไม่ได้เป็นคนที่เกาะ,neutral
ดีมากๆเลยค่ะ ชมว่าดีค่ะ โอเคค่ะ,positive
เพราะเรามีการศึกษาและติดตามธุรกิจกลุ่มนี้ชาติหน้าถ้ายังไงได้เราก็จะใส่เงินเชื่อคุณพ่อผมเนี่ยเขาจะมีเหมือนกัน,neutral
ปลมีภาระผ่อนบ้าน การเคหะเดือนละ 4พัน,neutral
ล่าหญิงหรือเปล่า,neutral
ครับไม่ใช่แบบเอาไว้ได้โพสต์แล้วเว้ยเดี๋ยวซักให้หนัก,neutral
กรมทัณฑ์ประกันชีวิตสมุดบัญชีทุกอย่างพยายามเก็บรวบรวมไว้ที่นี่แล้วก็มีใบปะหน้าก็เหมือนกับเป็น,neutral
"40,000 บาท",neutral
เอาเงินเข้าไปอีกกองหนึ่งของเขาน่าจะไม่มีค่าธรรมเนียมครับ,neutral
จนนี่ก็หลายเดือนละ จะทำ ทำไม่ได้ สักที,negative
nan,neutral
เละเลยล่ะ,neutral
มันไปว่าผลกระทบเป็นยังไงก็ลองไปคำนวณเอาเองผมก็ไม่รู้ว่ามันบวกหรือลบ,neutral
จะต้องติดต่อทางไหนครับเนี่ย,negative
มันใช่ไหม พอเกิดเหตุการณ์แบบนี้ขึ้น คุณไม่รับผิดชอบ,negative
ได้รับข้อมูลเพิ่มขึ้นเยอะ,positive
ถามจริงตลาดนะเนี่ยมันเป็นตลาดที่สกุลศึกษามันดีๆ,neutral
ทำไมที่บ้านไม่ต้องเดินทางเยอะขึ้นอ่ะขึ้นทางด่วนรถไฟฟ้าลดอุณหภูมิและการเดินทางออกมา,neutral
เรากำลังจะเอาสินทรัพย์เสี่ยงตัวใหม่เข้ามาไง,neutral
ก็ไปด่าเพื่อน,neutral
รอจนเหงือกบานแล้วฮับ,negative
ทำไมในแอพ ตอนกลับจากเมเจอร์ มาถึงบ้านแล้ว ก็ยังไม่ขึ้นว่า เต็ม,negative
คุณชื่ออะไรนะ คุณอธิบายข้อมูลดีมากชัดเจนดีมากครับ ชื่นชม,positive
อิเล็กทรอนิกส์เนี่ยมันมา,neutral
เขาก็จะมองว่า,neutral
จะมาโฆษณาให้คนไปซื้อของ,neutral
ชีวิตเลยครับจริงๆถ้าปล่อยให้นานมากขึ้น,neutral
โทรมาทวงอีก แล้วคราวนี้ บอกว่า ศาลตัดสินแล้ว ผมงงเป็นไก่ตาแตกเลยครับ,negative
บวชด้วยคือผมก็อยู่อีกกระบวนหนึ่งจะเป็นสไตล์หวานเย็น,neutral
อาการดีก็แล้วแต่,neutral
บริการได้ดี,positive
nan,neutral
คุณถือหุ้นเนี่ย,neutral
ขอไม่บอกนะคะ  เป็นเรื่องส่วนตัว,negative
ครับกลับก็ลองดูอายุ 28 เองครับแล้วก็,neutral
เพราะว่าเราไม่ได้,neutral
เรื่องนั้นๆทันที,neutral
เป็นของธุรกิจแล้วก็จะมีหลายธุรกิจที่จะล้มหายตายจาก,neutral
แล้วเพิ่มให้จริงไหม ต้องคิดต่ออะไรกับ บรึป่าว,neutral
เรียบร้อยแล้ว ชัดเจนครับ ขอบคุณมากเลย,positive
ก็เลยทำให้ที่โรงแรมยังไม่เปิดเลย,neutral
เกิดวิกฤตในช่วง 2 เดือนเราก็ไม่แน่ใจว่ะ,neutral
ยากนิดนึงเพราะว่า,neutral
อันนี้จะเป็นภาพรวมที่เห็นในตลาดทั้งหมด,neutral
ตรวจให้ก่อนด้วย ไม่มีปัญหาอะไร,positive
นะครับผม,neutral
มี 2 แบบคือภาคการเงินที่ผมเล่าไปแล้วก็อัดฉีดเข้ามาลดดอกเบี้ยอันนึงคือการคลังการคลังคือนโยบายแบบไอ้เหี้ยวันศุกร์นี่แหละ,neutral
อธิบายดีจังเลย,positive
นายสัตวแพทย์ธนัฐศิริวรางกูรนะครับหรือหมอนัทคลินิกกองทุนนั่นเองครับ,neutral
อยู่ใต้นิ,neutral
บริการสุดยอดดีมาก,positive
สนใจรับพิมพ์ชื่อลงไปใน Google,neutral
เช็ควงเงินที่ห้างได้5000  ซึ่งไม่พอ,neutral
เก็บแสนนึงใช้ได้นะย้อนดูชีวิตตัวเองแล้วรู้สึกว่าเราทำแจ้งนะคะขนาดไหนได้ไหมคะ,neutral
อาจจะไม่ได้เยอะแยะจนแบบโอหรือเรา,neutral
3 บัตรกดเงินสดเฟริสช้อย    1 500 บาท,neutral
คงจะไม่กี่บาท,neutral
ผมเลยตัดรำคาญจะไปสมัครให้จบๆ,negative
เรียบร้อยแล้ว ชัดเจนครับ ขอบคุณมากเลย,positive
ปืนใหญ่ข้างชื่อว่าไทยอ่ะมีโอกาสที่จะฟื้นกลับมาได้เร็ว,neutral
จะโทรไปจนกว่ามันจะส่งข้อความยกเลิกมาให้เรา,negative
หรือบางครั้งค้าขายแบบเดิมไม่ได้,neutral
กรุงศรีเฟิสช้อย กับ ธนาคาร กรุงศรีอยุธยา เครือข่ายเดียวกันมั๊ยค่ะ,neutral
น้าเหลืออยู่อย่างเดียวคือปรับทัศนคติให้มันตรงกันแค่นั้นเองนะครับเรื่องของการแอบทำอะไรในพี่อาจจะไม่ถนัดนักเรียนคนหนึ่งซึ่งมีความรู้เรื่องของการแอบซ่อนทำอะไรนะครับแต่ว่าไม่ใช่กับพ่อแม่,neutral
สังเกตผมนะผมว่าผมผมก็เจอ,neutral
มาคุยดีกว่าดูคุณไม่ได้เรื่องละเอา manager มาคุย,negative
กลับแล้วก็ยังไปต่อได้,neutral
ส่งจบก็คุ้ม ยังไงก็ปล่อยออกรถให้หมด,neutral
nan,neutral
พ่อแม่ก็ไม่ได้มีให้ ยังไงก็ต้องผ่อน ถ้ารอเก็บเงินมาซื้อก็อีกหลายปีกว่าจะได้,neutral
พนักงานบริษัท อายุงาน4เดือน สมัครบัตรกดเงินสด จะผ่านไหม,neutral
ละเอียดกับเรื่องการเงินนะครับทุกๆจังหวะแบบนี้โดยเฉพาะช่วงเวลาที่สติหายง่ายมากนะครับปัญหาถาโถมเข้ามาบางทีสติ,neutral
ไม่รวมภาษีมูลค่าเพิ่ม,neutral
ก็คุณไม่ค่อยรู้เรื่องค่ะ,negative
ผมก็เอารายละเอียดให้กับทางร้าน ก็รอประมาณเกือบๆ ชม ร้านค้าโทรมาแจ้งนัดติดตั้ง,neutral
ขอบคุณมากนะคะ ขอชมเชยได้มั้ยคะ,positive
พอดีเพิ่งไปกดเงินสดจากบัตรยูเมะพลัสมาเพื่อปิดยอด,neutral
แล้วก็วงเล็บอกตัญญูอันนี้อันนี้คือเรียกว่ามีการแอบเก็บเงินของตัวเองไว้ส่วนหนึ่งถ้าได้ค่ะ,neutral
ประสานงานเก๊งเก่ง,positive
อยากยกเลิกมากๆ,negative
อันนี้ผม,neutral
ผิดหวังมากๆ,negative
ก็ลองไปดูก่อน,neutral
กู้ซื้อบ้าน,neutral
สามารถ ผ่อน htc u11,neutral
วีดีโอคอนเฟอเรนซ์แบบนี้มันคือ,neutral
ยกเลิกประกันคับ ทำไงคับ,neutral
อยู่ที่การใช้งานของ จขกทค่ะ ว่าใช้แบบไหนบ่อย,neutral
ไม่ทราบว่าถ้าเลือกเปิดบัตรเซนทรัลเดอะวันอย่างเดียว หรือควรเก็บไว้ทั้งสองบัตรดีค่ะ,neutral
อันนี้ไม่มีตามตำรานะผมก็เคยพูดอย่างนี้ว่าผมอยากจะนู่นนี่นั่น,neutral
บริการยอดเยี่ยม,positive
แล้วมันก็ยังไปต่อได้กูซ้ำกับอาหาร,neutral
ผมมีคำถามว่าลงทุนแล้วใช้สิทธิ์ลดหย่อนภาษีปีที่แล้ว sfx,neutral
เลือกสไตล์สุดท้าย,neutral
Espresso นะแต่เห็นเขียนได้สัมภาษณ์,neutral
ห่วยๆมากๆ,negative
จะมีกลุ่มบางธุรกิจ,neutral
ลงทุนขั้นต่ำไม่มีค่าใช้จ่ายค่า,neutral
พอมีพนักงานรับสายก็ขาดๆ หายๆ,negative
แต่คุณก็ต้องศึกษามันอย่างละเอียด,neutral
ลองดูตัวเองก่อนมันต้องจ่ายภาษีเท่าไหร่ครับซื้อ 10 ได้เท่าไหร่,neutral
ขอบคุณมากๆค่ะ น่ารักที่สุดเลยน้องเนี่ย,positive
ไม่จำกัด,neutral
คุณทำในเรื่องของอุตสาหกรรมอื่น,neutral
อีกมุมนึงก็บอกว่ามีตัวเลขมา,neutral
บริการเยี่ยม,positive
สำหรับการผ่อนเครื่อง iphone7plus ราคาพิเศษในแคมเปญ,neutral
ให้ดูทั้งหมดเลยว่าเฮ้ยแล้วค่าธรรมเนียมอื่นๆแบตเสร็จแล้วเนี่ยมันโอเคหรือเปล่า,neutral
เคยมีผมเคยมีทักไปนะพี่มีเข็มขัดไหมคะ,neutral
ไปต่างประเทศเนี่ยโดยเฉพาะประเทศที่โดนหนักๆอย่างยุโรปเอง,neutral
มันทำให้บางทีมันผิดพลาดได้ง่าย,neutral
น่ารักจังเลย ถ้ามีการให้คะแนน ให้คะแนนเต็มล้านเลยค่ะ  สำหรับท่านใดที่มีอำนาจพิจารณาเงินเดือนและโบนัส สำหรับน้อง anchalee ให้ โบนัส 10 เดือนเลยนะคะ  หนูมีน้ำใจ และ take care ลูกค้าดีมาก,positive
ไอ้เทคโนโลยีนั่นแหละ,neutral
ส่วนผสมที่สำคัญมากและเป็นหนึ่งในสมการที่เป็นตัวแปรหลักของเศรษฐกิจจะดีหรือไม่ดีมันก็คือการอัดฉีด,neutral
ห่วยเกือบทั้งระบบ,negative
เอาเหอะ สักวันขอให้ลูกค้าย้ายหนีให้หมด,negative
ได้รับคำแนะนำจากคุณพ่อแบบนี้เลย,neutral
ถ้าเท่าที่เคยสมัครมาเราว่าการจะผ่านหรือไม่ผ่าน,neutral
สงสัยไปหมดแล้วตอนนี้ผลิตภัณฑ์ของคุณ จริงๆมีอะไรดีกว่านั้นรึป่าว การที่ call center พนงไม่รู้เรื่องทำให้เราพลาดโอกาสรึป่าว,negative
การเดินทางน้อยลงน้ำมันก็ใช้น้อยลงมันก็เลยเกิดปัญหาราคาน้ำมันผันผวน,neutral
การศึกษา,neutral
ภาพใหญ่ยังพกพา,neutral
อันนี้น่าจะเป็นวิธีการที่ดีที่สุดก็เลยคิดว่าอาจจะเป็น Singapore Dollar ไปครับผมและวิธีการอะไรต่างๆมีค่าธรรมเนียมนะอาจจะต้องดูอีกทีนึง,neutral
ว่ามันๆมันเป็นตลาดที่วันก่อนเห็นมีภาพนึงนะครับคนแชร์กัน,neutral
ให้ข้อมูลละเอียดมากค่ะ,positive
กินก็กินเข้าไปไม่ได้,neutral
ช่วยยกเลิกประกันที่โทรมา จะหักเงินกับเฟิรสช้อยส์ให้หน่อยค่ะ,neutral
ตารางการเดินทางแฟชั่นต่างๆ,neutral
แต่ผม งง ว่าทำไมมีเอกสารยกเลิกสัญญา ผมยังไม่ได้เซ็นใบเลยนะ,negative
ตัวไหนเด่นเรื่อง,neutral
ดีจังเลย คราวก่อนไม่มีแบบนี้ บอกให้เปิด app ของกรุงศรี,positive
ไม่เป็นหนี้สบายที่สุดครับ เพราะเวลาจำเป็นต้องใช้เครดิต,neutral
เครื่องบินจอดสนิทนะครับกลับมาบ้านแล้วนะครับโรงแรมปิดร้านอาหารปิดห้างปิดทุกอย่างปิดหมด,neutral
พูดมาเริ่มขึ้นมาปุ๊บครับพี่ผมตกรถไปหรือยังครับเนี่ย,neutral
จริงยาวยัน,neutral
ต้องรอนานเท่าไรถึงจะได้กระเป๋าหลังทำทำตามเงื่อนไขบัตรทุกอย่างแล้ว,neutral
ตัวปัญหาจริงๆ,negative
ภาพที่เห็นชัด,neutral
ขอบคุณมากจ๊ะ น้อง น่ารักมากเลย,positive
วันชนวันกันไว้เลยครับ,neutral
รอจนเที่ยงก็ยังไม่ได้รับ sms  รอจนหกโมงก็ยังไม่ได้รับ sms,negative
เราก็มองหาเมื่อกี้ที่สรุปได้คือมันต้องทำดีรู้ว่าอะไร,neutral
ขอบคุณมาก ที่ให้ความกระจ่าง,positive
แล้วก็มีอนาคต,neutral
ไม่เป็นธรรม,negative
ผงซักฟอก,neutral
อันนี้ว่ากลุ่มนี้,neutral
สบายใจแล้วแหล่ะ ถ้าอย่างนั้น,positive
ไม่ใช้เลย,negative
คนที่ทำเข้าไปแล้วเจ็บมาเยอะ,neutral
ยังไงยังไงเนี่ย,neutral
กองทุนลงทุนประเทศอะไร,neutral
หลอกผมทำประกัน,negative
ก่อนตั้งนี่แหละบางคนโทรมาจนแบบเสียงเดิม,neutral
เดี๋ยวสิไปเจอเขานะ,neutral
อ่อเข้าใจแล้วครับขอบคุณครับ,neutral
พี่ว่าถ้าเกิดว่าจะเผื่อเหลือเผื่อขาดกว่าจะใช้วิธีการฝากในรูปเงินตราของประเทศนั้นที่เราวางแผนว่าเราจะไปอยู่,neutral
น้ำเสียงราบเรียบ,negative
บอกว่ามีแล้วก็ยังจะแถมอีก ธนาคารเดิมนี่ล่ะบอกว่าให้เอาเพิ่มอีกใบ,neutral
นครบทสรุปของแต่ละส่วนอ่านเยอะๆอ่านให้ดี,neutral
(ในใบสมัคร เราไม่ได้อนุญาตให้แชร์ข้อมูล),neutral
ก็ยิ่งโมโหเริ่มรู้จักหัดวางแผนกับผมมากขึ้นนะครับแล้วก็ปัจจุบันเนี่ย,neutral
เดี๋ยวนี้เวลาโทรมา จะไม่พูดคำว่า ประกัน ออกมาเลย,neutral
ในตลาดเนี่ยยังยังพอไปได้นะครับเขามีวิธีการต่างๆ,neutral
บริการดีครับผม,positive
ธนาคารนี้ไม่เคยจริงใจ,negative
ใช้ whoscall เบอร์แปลกโทรมา,neutral
ส่วนบัตรเครดิตอื่น ๆ ไม่รู้ เพราะ จขกทไม่ได้ทิ้งรายละเอียดไว้,neutral
ในช่วงเวลานี้,neutral
หาง่ายหาง่ายคนใกล้ตัวของเขาไปเขาก็ขอต้อนรับนะครับ,neutral
1.3,neutral
เมื่อกี้มันบอกว่าไม่สามารถเดินเข้าไปซื้อได้เลยจริงๆเราสามารถทำผ่านออนไลน์ผ่านธนาคาร,neutral
ให้มี บัตรเครดิตคนละ 3 ใบจริง หรอ ,neutral
บริวารต้องบริหารพอร์ตด้วยแหละ,neutral
ผมรู้สึกว่าเฟิร์สช้อยส์ไม่ treat ลูกค้า,negative
ละเอียดยิบ ข้อมูลครบถ้วน,positive
ไม่ชอบเซลแบบ พูดอ้อมค้อมให้ลูกค้าเข้าใจผิด,negative
สมัครบัตรเคดิต ไม่ผ่าน ทำยังไง,neutral
ไม่อายหรอ,negative
ในความเป็นจริงแล้วหนูก็มีถึงสามก๊กตอนที่หนูก็มีสะสมทองอยู่บ้างนะอะไรเงี้ยแต่ว่า,neutral
ให้ข้อมูลดีมากเลยค่ะ,positive
หาการ์ตูนอื่น S,neutral
ไม่รู้เหมือนกัน ใครรู้ช่วยบอกหน่อย,negative
ว่าจะเข้าไปตอนไหน,neutral
คุณชื่ออะไร เด๋ยวชั้นจะโทรไปแจ้งบริษัท,negative
เท่านั้นยังไม่พอ มีประกันอุบัติเหตุเดินทาง อีก 6 ล้านบาท,negative
ค้าขายออนไลน์,neutral
ทำไมต้องแยกให้ลคงง,negative
วางแผนจะได้ครับวันนี้โดยเฉพาะ,neutral
ซื้อ,neutral
ระหว่างปีอาจจะมอง,neutral
จริงๆฐานเงินเดือนยังถือว่าน้อยเกินกว่าจะทำบัตรเครดิตได้นะคะ,neutral
คำนวณให้ผิด,neutral
พอดีผ่านอิออนก็เลยจะไปจ่ายค่าบัตรเครดิตล่วงหน้าที่ตู้,neutral
น้องบริการได้เยี่ยมมากเลยปกป้องข้อมูลลูกค้า,positive
กลุ่มนี้เป็นกลุ่มชอบเสี่ยง,neutral
ก่อนอื่นที่จะไปเล่าในไงวะประเทศไทยกับต่างประเทศแล้วกัน,neutral
มันมีลางสังหรณ์ดีแน่ๆ,neutral
